"UF";"Contrato";"Ano";"Mes";"Rodovia";"km";"Sentido";"Panela";"Corrugacoes";"trilha_roda";"Secao_Transversal";"Poca_dagua";"Drenagem";"Poeira";"Km_Inicial";"Km_Final";"Num_Faixas";"Superfície";"Data Aval.";"ICM";"ICM_Unificado"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"642.6";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"642.6";"643";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"642.6";"D";"Média";"Média";"Regular";"Regular";"0";"Regular";"Bom";"643";"642.6";"1";"Não pavimentada";"2025-05-10";"73,75";"73.75"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"643";"D";"Média";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"644";"643";"1";"Não pavimentada";"2025-05-10";"56,25";"56.25"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"643";"C";"Baixa";"ND";"ND";"ND";"0";"ND";"Bom";"643";"644";"1";"Não pavimentada";"2025-11-12";"15";"15"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"644";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"644";"645";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"644";"D";"Média";"Média";"Regular";"Regular";"0";"Regular";"Bom";"645";"644";"1";"Não pavimentada";"2025-05-10";"73,75";"73.75"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"645";"D";"Alta";"Média";"Regular";"Regular";"0";"Regular";"Bom";"646";"645";"1";"Não pavimentada";"2025-05-10";"80";"80"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"645";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"645";"646";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"646";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"646";"647";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"646";"D";"Alta";"Média";"Regular";"Regular";"0";"Regular";"Bom";"647";"646";"1";"Não pavimentada";"2025-05-10";"80";"80"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"647";"D";"Média";"Média";"Regular";"Regular";"0";"Regular";"Bom";"648";"647";"1";"Não pavimentada";"2025-05-10";"73,75";"73.75"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"647";"C";"Baixa";"ND";"ND";"ND";"0";"ND";"Bom";"647";"648";"1";"Não pavimentada";"2025-11-12";"15";"15"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"648";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"648";"649";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"648";"D";"Média";"Média";"Regular";"Regular";"0";"Bom";"Bom";"649";"648";"1";"Não pavimentada";"2025-05-10";"71,25";"71.25"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"649";"D";"Média";"Média";"Regular";"Regular";"0";"Bom";"Bom";"650";"649";"1";"Não pavimentada";"2025-05-10";"71,25";"71.25"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"649";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"649";"650";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"650";"C";"Baixa";"ND";"ND";"ND";"0";"Bom";"Bom";"650";"651";"1";"Não pavimentada";"2025-11-12";"20";"20"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"650";"D";"Média";"Média";"Regular";"Regular";"0";"Regular";"Bom";"651";"650";"1";"Não pavimentada";"2025-05-10";"73,75";"73.75"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"651";"D";"Média";"Média";"Regular";"Regular";"0";"Regular";"Bom";"652";"651";"1";"Não pavimentada";"2025-05-10";"73,75";"73.75"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"651";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"651";"652";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"652";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"652";"653";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"652";"D";"Baixa";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"653";"652";"1";"Não pavimentada";"2025-05-10";"50";"50"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"653";"D";"Baixa";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"654";"653";"1";"Não pavimentada";"2025-05-10";"50";"50"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"653";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"653";"654";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"654";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"654";"655";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"654";"D";"Baixa";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"655";"654";"1";"Não pavimentada";"2025-05-10";"50";"50"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"655";"D";"Baixa";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"656";"655";"1";"Não pavimentada";"2025-05-10";"50";"50"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"655";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"655";"656";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"656";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"656";"657";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"656";"D";"Baixa";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"657";"656";"1";"Não pavimentada";"2025-05-10";"50";"50"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"657";"D";"Baixa";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"658";"657";"1";"Não pavimentada";"2025-05-10";"50";"50"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"657";"C";"ND";"ND";"ND";"ND";"0";"Bom";"Bom";"657";"658";"1";"Não pavimentada";"2025-11-12";"7,5";"7.5"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"658";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"658";"659";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"658";"D";"Baixa";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"659";"658";"1";"Não pavimentada";"2025-05-10";"50";"50"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"659";"D";"Baixa";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"660";"659";"1";"Não pavimentada";"2025-05-10";"50";"50"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"659";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"659";"660";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"11";"BR-230";"660";"C";"ND";"ND";"ND";"ND";"0";"ND";"Bom";"660";"661";"1";"Não pavimentada";"2025-11-12";"2,5";"2.5"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"660";"D";"Baixa";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"661";"660";"1";"Não pavimentada";"2025-05-10";"50";"50"
"AM";"""01 00673/2021""";"2025";"5";"BR-230";"661";"D";"Baixa";"Baixa";"Bom";"Bom";"0";"Bom";"Bom";"662";"661";"1";"Não pavimentada";"2025-05-10";"50";"50"
